asset_id,file_path,status,asset_type,act,story_beat,character_ids,location,model,generation_date,size,quality,prompt_version,prompt_file,character_anchor_inputs,style_reference_inputs,parent_asset,generation_or_edit_id,selected_reason,qa_identity,qa_composition,qa_palette,qa_hands_props,qa_no_text_logo_watermark,reviewer,license_notes
RP-02,public/assets/reaction-chen-jiamin-act2-reference-v01.png,approved,reaction_sheet,2,Chen challenges the evidence behind the proposed transformation,CH-02,Central client meeting room,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P0-B02,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,public/assets/char-chen-jiamin-anchor-candidate-[a-d]-v01.png,public/assets/scene-central-client.png,CH-02,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_matches_supplied_anchor,pass_multi_pose_reaction_sheet,pass_project_palette,pass_hands_and_tablet,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
RP-03,public/assets/reaction-ah-long-act3-reference-v01.png,approved,reaction_sheet,3,Ah Long reacts to the player's interpretation of 再睇下,CH-03,Admiralty office pantry,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P0-B03,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,public/assets/char-ah-long-anchor-candidate-[a-d]-v01.png,public/assets/scene-pantry-colleague.png,CH-03,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_matches_supplied_anchor,pass_multi_pose_reaction_sheet,pass_project_palette,pass_hands_and_coffee,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
RP-04,public/assets/reaction-chen-jiamin-act4-reference-v01.png,approved,reaction_sheet,4,Chen responds under crisis pressure,CH-02,Central project war room,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P0-B04,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,public/assets/char-chen-jiamin-anchor-candidate-[a-d]-v01.png,public/assets/scene-crisis-client.png,CH-02,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_same_chen_identity_as_act2,pass_multi_pose_reaction_sheet,pass_project_palette_with_crisis_accent,pass_hands_and_phone,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
RP-05,public/assets/reaction-mrs-ho-act5-reference-v01.png,approved,reaction_sheet,5,Mrs Ho reacts to the player's closing proposal,CH-04,Wan Chai cha chaan teng,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P0-B05,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,public/assets/char-mrs-ho-anchor-candidate-[a-d]-v01.png,public/assets/scene-manager-lunch.png,CH-04,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_matches_supplied_anchor,pass_multi_pose_reaction_sheet,pass_project_palette,pass_hands_and_props,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
ES-01,public/assets/establishing-admiralty-morning-act1-v01.png,approved,establishing_shot,1,Admiralty morning before onboarding,,Admiralty office entrance,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-A01,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-onboarding-vincent.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette,pass_or_not_applicable,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
ES-02,public/assets/establishing-central-sunset-act2-v01.png,approved,establishing_shot,2,Central sunset before the client challenge,,Central client meeting floor,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-A02,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-central-client.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette,pass_or_not_applicable,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
ES-03,public/assets/establishing-pantry-bluehour-act3-v01.png,approved,establishing_shot,3,Quiet pantry at blue hour,,Admiralty office pantry,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-A03,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-pantry-colleague.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette,pass_two_unbranded_cups,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
ES-04,public/assets/establishing-central-rain-act4-v01.png,approved,establishing_shot,4,Rainy Central before crisis repair,,Central project war room,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-A04,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-crisis-client.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette_with_crisis_accent,pass_or_not_applicable,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
ES-05,public/assets/establishing-wanchai-night-act5-v01.png,approved,establishing_shot,5,Wan Chai night before the closing conversation,,Wan Chai street and cha chaan teng exterior,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-A05,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-manager-lunch.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette,pass_or_not_applicable,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-01,public/assets/insert-vincent-folder-act1-v01.png,approved,story_insert,1,Vincent moves the project folder toward the player,CH-01,Admiralty office reception,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B01,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,public/assets/char-vincent-anchor-candidate-[a-d]-v01.png,public/assets/scene-onboarding-vincent.png,CH-01,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_character_face_not_required,pass_for_gameplay_use,pass_project_palette,pass_hand_folder_watch,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-02,public/assets/insert-player-elevator-reflection-act1-v01.png,approved,story_insert,1,Player adjusts collar in elevator reflection,PLAYER,Admiralty office elevator,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B02,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-onboarding-vincent.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_player_face_obscured,pass_for_gameplay_use,pass_project_palette,pass_first_person_hands,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-03,public/assets/insert-unsigned-proposal-act2-v01.png,approved,story_insert,2,Unsigned proposal remains on the table,,Central client meeting room,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B03,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-central-client.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette,pass_stationery_and_document,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-04,public/assets/insert-chen-jiamin-pause-act2-v01.png,approved,story_insert,2,Chen pauses and looks up for evidence,CH-02,Central client meeting room,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B04,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,public/assets/char-chen-jiamin-anchor-candidate-[a-d]-v01.png,public/assets/scene-central-client.png,CH-02,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_matches_supplied_anchor,pass_for_gameplay_use,pass_project_palette,pass_hand_and_pen,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-05,public/assets/insert-two-coffees-act3-v01.png,approved,story_insert,3,Two coffees mark the informal pantry conversation,,Admiralty office pantry,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B05,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-pantry-colleague.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette,pass_two_unbranded_cups,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-06,public/assets/insert-meeting-reflection-act3-v01.png,approved,story_insert,3,Distant meeting room remains lit in reflection,,Admiralty office pantry,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B06,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-pantry-colleague.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette,pass_two_unbranded_cups,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-07,public/assets/insert-data-mismatch-act4-v01.png,approved,story_insert,4,Two charts reveal conflicting pilot data,,Central project war room,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B07,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-crisis-client.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette_with_crisis_accent,pass_documents_and_laptop,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-08,public/assets/insert-chen-phone-light-act4-v01.png,approved,story_insert,4,Phone light shows the client escalation reaching Chen,CH-02,Central project war room,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B08,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,public/assets/char-chen-jiamin-anchor-candidate-[a-d]-v01.png,public/assets/scene-crisis-client.png,CH-02,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_same_chen_identity_as_act2,pass_for_gameplay_use,pass_project_palette_with_crisis_accent,pass_hand_and_phone,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-09,public/assets/insert-player-checklist-act4-v01.png,approved,story_insert,4,Player writes the 9 p.m. verification checklist,PLAYER,Central project war room,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B09,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-crisis-client.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_player_face_not_shown,pass_for_gameplay_use,pass_project_palette_with_crisis_accent,pass_first_person_hands,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-10,public/assets/insert-tea-plan-act5-v01.png,approved,story_insert,5,Tea and a one-page plan turn intent into a next step,,Wan Chai cha chaan teng,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B10,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-manager-lunch.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette,pass_drinks_document_and_pen,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-11,public/assets/insert-pilot-scope-act5-v01.png,approved,story_insert,5,Bounded pilot scope preserves metrics within budget,,Wan Chai cha chaan teng,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B11,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-manager-lunch.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_not_character_dependent,pass_for_gameplay_use,pass_project_palette,pass_document_and_pen,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
IN-12,public/assets/insert-player-leaves-wanchai-act5-v01.png,approved,story_insert,5,Player leaves the restaurant with the folded plan,PLAYER,Wan Chai night street,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P1-B12,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/establishing-wanchai-night-act5-v01.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_player_face_not_shown,pass_for_gameplay_use,pass_project_palette,pass_first_person_hand_and_document,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
PR-01,public/assets/practice-vincent-clarify-brief-v01.png,approved,practice_scene,practice,Clarify a vague task before starting,CH-01,Admiralty project room,OpenAI Image Generation,2026-07-26,1536x1024,high,P01,docs/visual-production/GPT_IMAGE_2_PRACTICE_CASE_PROMPTS.md,public/assets/char-vincent-anchor-candidate-[a-d]-v01.png,public/assets/scene-onboarding-vincent.png,,call_CIj4qK4omty7Ct45gAP6IDtj,Accepted for practical task-clarification training,pass_same_vincent_identity,pass_right_weighted_and_dialogue_safe,pass_project_palette,pass_hand_pen_and_laptop,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-26,Original fictional project asset generated from project-owned prompt and anchors
PR-02,public/assets/practice-mrs-ho-priority-conflict-v01.png,approved,practice_scene,practice,Negotiate two conflicting priorities,CH-04,Admiralty open office,GPT Image 2,2026-07-26,1536x1024,ChatGPT generated PNG,P02,docs/visual-production/GPT_IMAGE_2_PRACTICE_CASE_PROMPTS.md,public/assets/char-mrs-ho-anchor-candidate-[a-d]-v01.png,public/assets/scene-manager-lunch.png,,file_00000000191481f591c2697ebb4a404c,Accepted for practical priority-negotiation training,pass_same_mrs_ho_identity,pass_right_weighted_and_dialogue_safe,pass_project_palette,pass_hands_files_and_calendar,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-26,Original fictional project asset generated from project-owned prompt and anchors
PR-03,public/assets/practice-vincent-bad-news-v01.png,approved,practice_scene,practice,Communicate a confirmed delay early,CH-01,Admiralty project area,GPT Image 2,2026-07-26,1536x1024,ChatGPT generated PNG,P03,docs/visual-production/GPT_IMAGE_2_PRACTICE_CASE_PROMPTS.md,public/assets/char-vincent-anchor-candidate-[a-d]-v01.png,public/assets/scene-onboarding-vincent.png,,file_0000000080c481f5a2d0424aaed6566c,Accepted for practical bad-news communication training,pass_same_vincent_identity,pass_right_weighted_and_dialogue_safe,pass_project_palette,pass_hand_laptop_folder_and_phone,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-26,Original fictional project asset generated from project-owned prompt and anchors
PR-04,public/assets/practice-ah-long-networking-lunch-v01.png,approved,practice_scene,practice,Build a relationship without extracting favors,CH-03,Central cha chaan teng,GPT Image 2,2026-07-26,1536x1024,ChatGPT generated PNG,P04,docs/visual-production/GPT_IMAGE_2_PRACTICE_CASE_PROMPTS.md,public/assets/char-ah-long-anchor-candidate-[a-d]-v01.png,public/assets/scene-pantry-colleague.png,,file_00000000753481fdbcdee3c176c8bd27,Accepted for practical informal-networking training,pass_same_ah_long_identity,pass_right_weighted_and_dialogue_safe,pass_project_palette,pass_hand_cup_and_dishes,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-26,Original fictional project asset generated from project-owned prompt and anchors
PR-05,public/assets/practice-ah-long-soft-followup-v01.png,approved,practice_scene,practice,Turn a soft promise into an owner and time,CH-03,Admiralty lift lobby,GPT Image 2,2026-07-26,1536x1024,ChatGPT generated PNG,P05,docs/visual-production/GPT_IMAGE_2_PRACTICE_CASE_PROMPTS.md,public/assets/char-ah-long-anchor-candidate-[a-d]-v01.png,public/assets/scene-pantry-colleague.png,,file_00000000ec6881f5b889ae75af418eeb,Accepted for practical cross-team follow-up training,pass_same_ah_long_identity,pass_right_weighted_and_dialogue_safe,pass_project_palette,pass_hands_phone_and_notebook,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-26,Original fictional project asset generated from project-owned prompt and anchors
PR-06,public/assets/practice-mrs-ho-scope-creep-v01.png,approved,practice_scene,practice,Negotiate scope impact and exchange,CH-04,Admiralty meeting pod,GPT Image 2,2026-07-26,1536x1024,ChatGPT generated PNG,P06,docs/visual-production/GPT_IMAGE_2_PRACTICE_CASE_PROMPTS.md,public/assets/char-mrs-ho-anchor-candidate-[a-d]-v01.png,public/assets/scene-manager-lunch.png,,file_00000000d85c81f58c832f43a10f00a6,Accepted for practical scope-control training,pass_same_mrs_ho_identity,pass_right_weighted_and_dialogue_safe,pass_project_palette,pass_hands_documents_pen_and_tablet,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-26,Original fictional project asset generated from project-owned prompt and anchors
PR-07,public/assets/practice-chen-executive-brief-v01.png,approved,practice_scene,practice,Deliver a one-minute decision brief,CH-02,Central executive decision room,GPT Image 2,2026-07-26,1536x1024,ChatGPT generated PNG,P07,docs/visual-production/GPT_IMAGE_2_PRACTICE_CASE_PROMPTS.md,public/assets/char-chen-jiamin-anchor-candidate-[a-d]-v01.png,public/assets/scene-central-client.png,,file_00000000bcd481f8bf74a65275c7a448,Accepted for practical executive-brief training,pass_same_chen_identity,pass_right_weighted_and_dialogue_safe,pass_project_palette,pass_hand_folder_pen_and_chart,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-26,Original fictional project asset generated from project-owned prompt and anchors
CS-01,public/assets/custom-vincent-war-room-v01.png,approved,custom_training_scene,custom,Adaptive delivery risk and resource conflict,CH-01,Admiralty project war room,OpenAI Image Generation,2026-07-31,1536x1024,high,CS01,docs/visual-production/GPT_IMAGE_2_CUSTOM_SCENE_PROMPTS.md,public/assets/char-vincent-anchor-candidate-[a-d]-v01.png,public/assets/practice-vincent-bad-news-v01.png,,call_DHXSyLJUoymrDDZLlNeLo2QF -> call_amx4QjgXxsKrD3AIpTKBO1PX,Accepted after dialogue-safe edit,pass_same_vincent_identity,pass_right_weighted_lower40_and_status_safe,pass_project_palette,pass_natural_hands_and_abstract_progress_wall,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-31,Original fictional project asset generated from project-owned anchors and prompt
CS-02,public/assets/custom-mrs-ho-manager-office-v01.png,approved,custom_training_scene,custom,Adaptive priority and authority-boundary conversation,CH-04,Admiralty manager office,OpenAI Image Generation,2026-07-31,1536x1024,high,CS02,docs/visual-production/GPT_IMAGE_2_CUSTOM_SCENE_PROMPTS.md,public/assets/char-mrs-ho-anchor-candidate-[a-d]-v01.png,public/assets/practice-mrs-ho-priority-conflict-v01.png,,call_BPPpeI4RMHKSzk06NWRwP5Gt -> call_sqRHKM3iCSzeHR9mmQZWV7Jj,Accepted after lower-safe-area edit,pass_same_mrs_ho_identity,pass_right_weighted_lower40_and_status_safe,pass_project_palette,pass_watch_hands_walnut_and_glass,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-31,Original fictional project asset generated from project-owned anchors and prompt
CS-03,public/assets/custom-chen-client-boardroom-v01.png,approved,custom_training_scene,custom,Adaptive client negotiation objections and scope,CH-02,Central client boardroom,OpenAI Image Generation,2026-07-31,1536x1024,high,CS03,docs/visual-production/GPT_IMAGE_2_CUSTOM_SCENE_PROMPTS.md,public/assets/char-chen-jiamin-anchor-candidate-[a-d]-v01.png,public/assets/practice-chen-executive-brief-v01.png,,call_0YTdNCkswsC9BA3NwUb7mTme,Accepted for client-facing adaptive sessions,pass_same_chen_identity,pass_right_weighted_lower40_and_status_safe,pass_project_palette,pass_natural_hands_and_boardroom_props,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-31,Original fictional project asset generated from project-owned anchors and prompt
CS-04,public/assets/custom-ah-long-open-office-v01.png,approved,custom_training_scene,custom,Adaptive cross-team collaboration and peer feedback,CH-03,Admiralty open project office,OpenAI Image Generation,2026-07-31,1536x1024,high,CS04,docs/visual-production/GPT_IMAGE_2_CUSTOM_SCENE_PROMPTS.md,public/assets/char-ah-long-anchor-candidate-[a-d]-v01.png,public/assets/practice-ah-long-soft-followup-v01.png,,call_HBEYOPO1djq1td7CHqZjDAnN,Accepted for peer and cross-team adaptive sessions,pass_same_ah_long_identity,pass_right_weighted_lower40_and_status_safe,pass_project_palette,pass_natural_hands_and_office_props,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-31,Original fictional project asset generated from project-owned anchors and prompt
